	vertex	degree	eigenvector	betweenness			
1	.swf converter	1	0	0			
2	-2146826259	6	0.004	40.974			
3	rate your space	12	0.004	617.702			
4	thai air ways	4	0.003	0			
5	i'm not a player i just crush a lot lyrics	314	0.126	126147.336			
6	american girl doll hair care	210	0.116	54000.207			
7	air wisconsin	8	0.005	148.308			
8	7-layer salad	1	0	0			
9	a dick	2	0	0			
10	lock & lock containers	36	0.023	7964.952			
11	a h harris & sons	37	0.034	80.879			
12	so ke hoach va dau tu thanh pho ho chi minh	35	0.034	323.691			
13	la fitness promotion	35	0.02	4782.664			
14	king pine ski area nh	70	0.072	3184.997			
15	kat von d boyfriend	23	0.027	169.199			
16	coca cola atlanta ga	159	0.112	17400.922			
17	samantha harris maxim co host	42	0.042	1114.608			
18	paige parks modeling agency houston tx	76	0.073	10129.569			
19	ali b maids	77	0.063	2037.076			
20	mansfield crossing mansfield ma	80	0.073	3701.695			
21	wabc tv ny	67	0.055	2044.512			
22	w&r enterprises	52	0.03	862.616			
23	virgin radio fr	53	0.059	1125.88			
24	ti website	21	0.026	44.933			
25	the morning call lehigh valley pa	83	0.077	5233.691			
26	the crystals then he kissed me	85	0.05	3878.229			
27	shreveport la radio stations	46	0.053	519.064			
28	s&r philippines pricesmart	45	0.022	481.876			
29	outrigger maui el dorado	83	0.079	5863.044			
30	new hip hop and r&b music	113	0.059	22500.283			
31	midnight club la barrel locations	32	0.027	5988.862			
32	maynard cooper & gale p c	81	0.052	3787.658			
33	lbs vs kg conversion	49	0.025	644.519			
34	i pod player	184	0.117	28742.734			
35	i am woman hear me roar lyrics	283	0.14	58928.891			
36	hp vs dell desktops	161	0.08	10098.96			
37	hp notebook wireless card	138	0.101	11940.694			
38	hampton inn lakeland fl	259	0.173	33432.949			
39	city of dallas city hall dallas tx	295	0.169	73045.625			
40	u s p s jobs	105	0.048	11004.694			
41	quincy university quincy il	70	0.068	4323.23			
42	U of A	116	0.053	3967.527			
43	H& R BLOCK	183	0.088	11906.748			
44	Florence	17	0.022	35.559			
45	AM radio stations	39	0.03	2745.94			
46	AAA gas prices	6	0.002	186.06			
47	properties of solid liquid and gas	2	0	0			
48	map strip game	38	0.028	3770.947			
49	map of israel and gaza	80	0.078	4805.625			
50	how to lose fat and gain muscle	31	0.012	9243.926			
51	aarp pharmacy	3	0.001	0.211			
52	what is credit card apr	28	0.009	2132.063			
53	question mark clip art	45	0.029	6168.124			
54	ab excersices	2	0.001	0			
55	Abbey Road Studios	87	0.078	4977.158			
56	wood county court	22	0.009	3064.94			
57	weber county sheriffs office	20	0.021	282.267			
58	water filter for home	41	0.044	3674.578			
59	traverse curtain rods	22	0.025	124.959			
60	tops and bottoms clothing store in chicago	17	0.023	26.679			
61	thomas kincaide screen saver	24	0.032	96.244			
62	the zone gym	18	0.02	97.384			
63	the white house press office	29	0.027	1079.463			
64	the port huron times herald newspaper	25	0.032	394.023			
65	the big texan steak house	33	0.039	468.489			
66	texas roadhouse rest restaurant	56	0.065	2378.89			
67	texas road reports	4	0.002	0.442			
68	teacher from West London resolved	45	0.051	940.13			
69	stone jewelry	26	0.031	354.533			
70	st vincent hospital bridgeport ct	49	0.057	397.685			
71	somerville city hall ma	78	0.079	2407.048			
72	snowshoe ski area	28	0.034	543.968			
73	restaurant hood cleaning	14	0.015	272.753			
74	pattern for plastic bag holder	73	0.065	6617.688			
75	orchard hardware store	47	0.054	3260.899			
76	map of houston texas area	102	0.085	7776.755			
77	mandalay bay hotel vegas	49	0.06	765.898			
78	mall of georgia store directory	101	0.087	7103.05			
79	malaysia phone directory	34	0.047	141.177			
80	making a diaper cake	31	0.034	1911.743			
81	location of pentagon	21	0.03	19.916			
82	loaf and jug	1	0.001	0			
83	laurel county public library	17	0.015	180.258			
84	knit fabric	41	0.04	1505.961			
85	john travoltas home	34	0.025	4937.969			
86	jeep wrangler off road parts	32	0.03	870.359			
87	james bond island	14	0.012	964.917			
88	iowa dot road report	37	0.023	2816.903			
89	illinois bell telephone company	97	0.09	7189.285			
90	hotel dogs the movie	58	0.048	2746.121			
91	horseshoe valley resort	98	0.084	6910.599			
92	holland bakery jakarta	121	0.094	7164.509			
93	harbor freight stores location	108	0.099	3444.399			
94	hampton inn chattanooga	86	0.09	1344.954			
95	guitar chords for hotel california	93	0.087	3490.169			
96	germany road conditions	6	0.002	16.332			
97	frank wagon train	126	0.1	6438.995			
98	ford explorer recalls	52	0.031	8304.453			
99	food manager	10	0.005	2956.806			
100	fixture universe kitchen and bath	188	0.12	18536.723			
101	factory refurbished lcd tvs	40	0.038	2201.567			
102	elmers auto salvage	41	0.033	4656.694			
103	disney's boardwalk inn	113	0.097	6974.746			
104	designer office furniture	134	0.102	10810.618			
105	dakota county courthouse	30	0.022	1013.354			
106	ct state website	203	0.143	14596.421			
107	clubhouse restaurant	54	0.043	5977.316			
108	china garden restaurant houston	44	0.042	1684.799			
109	chapel ridge apartments arkansas	13	0.012	23.999			
110	catwalk vintage store	40	0.04	726.958			
111	carriage boutique clothing	110	0.089	5437.321			
112	car parking manchester airport	125	0.098	10037.39			
113	california state board of registered nursing	71	0.054	6297.981			
114	body solid gym equipment	199	0.129	19025.006			
115	belmont cinema aberdeen	83	0.085	1065.18			
116	bear mountain ny ski	90	0.075	8301.898			
117	baby boot camp	151	0.104	15882.531			
118	arlington hospital virginia	120	0.1	5695.576			
119	apex body bug fitness	106	0.082	9799.541			
120	acme brick houston	54	0.05	1687.794			
121	South Carolina Newspapers	105	0.094	4638.634			
122	Sanctuary Beach Resort	20	0.02	450.263			
123	Peak District National Park	158	0.12	21258.439			
124	Miss America nude	76	0.075	8582.292			
125	JOHN TRAVOLTA'S SON DIES	29	0.035	2921.918			
126	Giant's Causeway	24	0.029	10.867			
127	Fort Collins	50	0.059	6910.059			
128	the prince george citizen newspaper	53	0.054	435.528			
129	st george and sutherland shire leader	57	0.065	1844.706			
130	pioneer home stereo system	119	0.093	12682.587			
131	fun runner toy hauler	140	0.096	18190.6			
132	carson prairie scott store	178	0.128	18871.814			
133	butcher block kitchen island	260	0.151	50645.457			
134	baby boy baby shower decorations	298	0.145	101426.844			
135	atlantic station movie theater atlanta	270	0.163	57967.754			
136	about adams respiratory therapeutics inc	1	0	0			
137	absent friends	1	0	0			
138	Acceptance insurance	9	0	321.944			
139	mid century insurance	9	0.001	610.084			
140	global life and accident insurance company	36	0.006	11388.62			
141	ga health insurance	47	0.024	8717.278			
142	free progressive insurance quote	8	0	1225.765			
143	dominion of canada insurance	11	0	111.819			
144	business insurance quotes	11	0.001	808.164			
145	Titan insurance	7	0	2.711			
146	Insurance Quotes Instantly	4	0	0			
147	access files from	1	0	0			
148	acer driver updates	3	0	11.015			
149	play race car games	25	0.013	4094.514			
150	Speed Racer Gallery	8	0.002	2426.522			
151	old yahoo home	12	0.009	25.602			
152	making alcohol at home	10	0.007	20.188			
153	home made tomato sauce	19	0.011	905.326			
154	dairy queen ice cream cakes	46	0.038	2092.889			
155	chinese ice sculpture	18	0.016	273.982			
156	bradford okeefe funeral home	24	0.015	943.838			
157	california speeding ticket price range	22	0.008	4168.334			
158	monster truck jam houston	24	0.029	316.893			
159	metro houston	30	0.03	1674.412			
160	rose bowl game time	20	0.006	5946.611			
161	rome italy population	30	0.03	2062.957			
162	part time lover lyrics	24	0.015	1950.792			
163	age of empire III	23	0.014	320.803			
164	home depot in mckinney tx	113	0.093	2710.002			
165	drop me off in harlem	113	0.081	3131.534			
166	crigslistlist houston tx	76	0.061	1089.836			
167	saratoga springs figure skating club home page	25	0.014	3190.312			
168	sagemont church houston tx	53	0.052	2997.849			
169	magnolia clinic in houston	9	0.01	69.941			
170	phoenix wright ace attorney justice for all	23	0.022	338.106			
171	baby grace galveston texas	120	0.096	9898.199			
172	anna's ice cream shop game	94	0.051	18231.686			
173	eagle rock	9	0.009	98.521			
174	fifth third bank cincinnati ohio	127	0.096	6299.64			
175	boston bruins radio	23	0.015	925.256			
176	Washington State Unemployment	57	0.047	712.803			
177	acme whistles	2	0	0			
178	addiction recovery guide	3	0	11.466			
